ID,Name,Type,Location,Country,City/Region,Description,Image_Path,Destination_URL,CTA_Type,CTA_Text,Certification_Type
1,Cantine Panella,RESTAURANT,Montreal,Canada,Montreal,"A unique spot in Montreal that offers a variety of flavorful breads, sweets and other products each concocted with never seen before in Quebec flour mixtures that make it worth the trip! A unique place in Montreal offering tasty, nourishing breads and other goods made with flours rarely used in Quebec.","../../uploads/establishments/restaurants/cantine-panella.jpg","https://www.panella.ca/en",LINK,VISIT WEBSITE,GF Dedicated
2,Gallos Restaurante,RESTAURANT,San Jose,Costa Rica,San José,"We are located 25 meters west of the northeast corner of the Legislative Assembly. Opposite the south side of the Supreme Tribunal of Elections, San José. We are open Monday to Saturday from 10:00 AM to 6:00 PM. The kitchen closes at 5:30 PM. You can view our menu here. WE ARE ALSO ON UBER EATS!","../../uploads/establishments/restaurants/gallos-restaurante.jpg","https://www.gallosrestaurante.cr",LINK,VISIT WEBSITE,GF Dedicated
3,Hotel Chateau Louis,HOTEL,Edmonton,Canada,Edmonton AB,"Chateau Louis Hotel & Conference Centre is a family owned and operated property centrally located near the heart of downtown Edmonton. A 139 room full-service, non-smoking hotel with Julian's Piano Bar, Royal Coach Dining Room, Touch of Class Gaming Entertainment Centre and Crown Suite private dining room. Freestanding Conference Centre has nine banquet and meeting rooms, outdoor courtyard and gazebo in a park like setting.","../../uploads/establishments/hotels/hotel-chateau-louis.jpg","https://www.chateaulouis.com",FORM,INQUIRE TO BOOK,GF Options
4,Hotel Hacienda Guachupelin,HOTEL,Liberia,Costa Rica,Liberia,"Uniquely situated in the dry tropical forest, Hotel Hacienda Guachipelin is the ideal setting to explore one of the most interesting regions and active volcanoes in the ""happiest country in the world"" — Costa Rica. Our Hacienda in Costa Rica is the ultimate jumping off point for incredible Guanacaste, Costa Rica excursions, tours, and adventures, and is considered one of the best places to stay in Liberia, Costa Rica and among the best resorts near Liberia Costa Rica.","../../uploads/establishments/hotels/hacienda-guachupelin.jpg","https://www.guachipelin.com",FORM,INQUIRE TO BOOK,GF Dedicated
5,Hotel Monroe Louisiana,HOTEL,Monroe,USA,Louisiana,"Our hotel is situated in two historically preserved buildings that have stood proudly in our town since the late 1800s. We see these two buildings like two sides of the same coin—complementary, yet entirely distinct. On the left is the Opera House, a glamorous spot which housed the Star Hotel in the 1920s. Here, you'll find our Opera House ballroom, Lobby Bar, Heirloom restaurant, and Sugar Brothers Provisions.","../../uploads/establishments/hotels/hotel-monroe-louisiana.jpg","https://www.hotelmonroe.com",FORM,INQUIRE TO BOOK,GF Options
6,Hotel UMusic Madrid,HOTEL,Madrid,Spain,Madrid,"Our unique design celebrates art and culture in every space. Immerse yourself in Madrid's culture through a selection of cocktails and recipes with local and international flavors. Connect with Madrid from our rooftop, offering panoramic views of the city center, and enjoy a 5-star hotel experience in the heart of the capital. UMusic Hotels DINE & DRINK","../../uploads/establishments/hotels/hotel-umusic-madrid.jpg","https://www.umusichotels.com/madrid",FORM,INQUIRE TO BOOK,GF Dedicated
7,IKI Japanese Bistro,RESTAURANT,Vancouver,Canada,Vancouver,"Discover the exquisite menu at Iki Japanese Restaurant, where 100% gluten-free sushi meets authentic Japanese flavors. Enjoy fresh, delicious rolls, including the Avocado Roll and Dynamite Roll, all crafted with care. Ideal for celiac diners, our offerings ensure every guest can relish the best sushi in Vancouver.","../../uploads/establishments/restaurants/iki-japanese-bistro.jpg","https://www.ikirestaurant.ca",LINK,VISIT WEBSITE,GF Dedicated
8,Kafó,RESTAURANT,San Rafael,Costa Rica,San Rafael,"Kafó: the first 100% gluten-free bakery, pastry, ice cream parlor and restaurant in Costa Rica A 100% dedicated kitchen and bakery. No traces, no exceptions.","../../uploads/establishments/restaurants/kafo.jpg","https://www.kafo.cr",LINK,VISIT WEBSITE,GF Dedicated
9,Mako Foods,RESTAURANT,Longueuil,Canada,Longueuil,"At Mako Foods Exotik, we honor organic and certified organic cereals such as sorghum, millet and fonio. Versatile and tasty, our products are designed to inspire creative, accessible and fresh cuisine. We also offer a catering service for your events and welcome you to the Longueuil Public Market counter, where you can discover and enjoy our creations on site.","../../uploads/establishments/restaurants/mako-foods.jpg","https://www.makofoodsexotik.com",LINK,VISIT WEBSITE,GF Dedicated
10,Pollo FAS,RESTAURANT,Heredia,Costa Rica,Heredia,"Pollo FAS is San José's favorite destination for quick, delicious, and high-quality dining. Situated right across from the Supreme Tribunal of Elections, we serve up fresh flavors daily from Monday to Saturday. Check out our menu online or catch us on Uber Eats for the ultimate comfort food experience!","../../uploads/establishments/restaurants/pollo-fas.jpg","https://www.pollofas.cr",LINK,VISIT WEBSITE,GF Dedicated
11,Restaurant Any Time Arepa,RESTAURANT,Wisconsin,USA,Wisconsin,"Founded in 2018, Anytime Arepa Gluten Free Kitchen® was created with a clear mission: to offer flavorful, high-quality Venezuelan food while providing a safe dining experience for the gluten-free community. Listening closely to our customers' needs, we built our concept around trust, quality, and consistency—earning certification from the National Celiac Association and upholding rigorous gluten-free standards across our operations.","../../uploads/establishments/restaurants/anytime-arepa.jpg","https://www.anytimearepa.com",LINK,VISIT WEBSITE,GF Dedicated
12,Restaurant Petok Culinary Experiences,RESTAURANT,Petoskey,USA,Petoskey Michigan,"At PETOK, our menu is a celebration of 100% gluten-free cuisine, crafted with passion and a commitment to delivering a truly unique dining experience. Each dish is thoughtfully prepared using fresh, local ingredients, ensuring that our offerings are not only delicious but also healthy. From gourmet pizzas and artisanal breads to globally inspired small plates, every bite reflects our dedication to quality and creativity.","../../uploads/establishments/restaurants/petok-culinary.jpg","https://www.petokculinary.com",LINK,VISIT WEBSITE,GF Dedicated
13,Shiitake,RESTAURANT,La Fortuna,Costa Rica,La Fortuna,"Partnered with a revolutionary 100% gluten-free rooftop restaurant concept in the heart of La Fortuna. Combining safe, inclusive gastronomy with stunning volcano views and a vibrant atmosphere.","../../uploads/establishments/restaurants/shiitake.jpg","https://www.shiitake-lafortuna.com",LINK,VISIT WEBSITE,GF Dedicated
14,Sweet Impastries Gluten-Free Bakery,RESTAURANT,Gilbert,USA,Gilbert Arizona,"Sweet Impastries is a Certified Gluten-Free Program bakery in Gilbert, Arizona, founded to bring safe, high-quality desserts back to the gluten-free community. Using European-inspired techniques and premium ingredients, we craft everything from cinnamon rolls to custom cakes with care and intention. Every item is baked fresh, celiac-safe, and made to be shared and celebrated.","../../uploads/establishments/restaurants/sweet-impastries.jpg","https://www.sweetimpastries.com",LINK,VISIT WEBSITE,GF Dedicated
15,Tour Gastronomicos por Castilla La Mancha,HOTEL,Madrid,Spain,Castilla La Mancha,"Our passion for gastronomy is carried in our blood, born of the love instilled by our families for the quality product, for respect for its origin, telling its history and giving light to the hands of its producers. This love and our experience of multiple years in the world of restaurants and tourism, has led us to create this route.","../../uploads/establishments/hotels/tour-gastronomicos.jpg","https://www.tour-gastronomicos.es",FORM,INQUIRE TO BOOK,GF Dedicated
